season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total,team2
2007,US Palermo (11.),,9,8,8,2,3,4,8,5,47,US Palermo
2007,SS Lazio (12.),,5,7,8,3,9,6,7,2,47,SS Lazio
2007,Genoa CFC (10.),,4,3,3,0,13,10,10,1,44,Genoa CFC
2007,Parma Calcio 1913 (19.),,4,8,9,0,5,11,4,1,42,Parma Calcio
2007,Robur Siena (13.),,6,5,8,0,2,5,10,4,40,Robur Siena
2007,Cagliari Calcio (14.),,7,6,4,1,12,3,4,3,40,Cagliari Calcio
2007,Urbs Reggina 1914 (16.),,3,1,10,0,4,6,9,4,37,Urbs Reggina
2007,Torino FC (15.),,3,4,7,0,8,8,6,0,36,Torino FC
2007,AS Livorno (20.),,6,4,4,1,5,7,7,1,35,AS Livorno
2007,Calcio Catania (17.),,7,4,6,0,6,3,6,1,33,Calcio Catania
2007,FC Empoli (18.),,6,3,1,1,6,3,5,4,29,FC Empoli
2008,Inter Milan (1.),,15,7,6,2,15,9,12,4,70,Inter Milan
2008,AC Milan (2.),,10,6,11,1,16,12,12,2,70,AC Milan
2008,Juventus FC (3.),,4,10,18,0,12,12,10,3,69,Juventus FC
2008,AS Roma (6.),,8,11,7,3,12,11,8,4,64,AS Roma
2008,Udinese Calcio (7.),,13,7,7,0,8,13,10,3,61,Udinese Calcio
2008,US Palermo (8.),,7,7,10,1,17,6,7,2,57,US Palermo
2008,Genoa CFC (4.),,2,7,3,1,12,12,15,4,56,Genoa CFC
2008,ACF Fiorentina (5.),,4,8,6,0,8,11,12,4,53,ACF Fiorentina
2008,Cagliari Calcio (9.),,6,6,9,0,13,6,6,3,49,Cagliari Calcio
2008,UC Sampdoria (13.),,9,5,8,2,11,9,4,1,49,UC Sampdoria
2008,SS Lazio (10.),,7,6,1,0,10,10,11,1,46,SS Lazio
2008,Atalanta BC (11.),,5,8,4,0,8,9,9,2,45,Atalanta BC
2008,SSC Napoli (12.),,7,7,6,0,4,13,5,1,43,SSC Napoli
2008,Bologna FC 1909 (17.),,5,10,3,0,9,5,8,3,43,Bologna FC
2008,Calcio Catania (15.),,4,3,10,0,7,9,7,1,41,Calcio Catania
2008,Torino FC (18.),,5,3,5,0,8,5,10,1,37,Torino FC
2008,US Lecce (20.),,6,5,7,0,10,3,3,3,37,US Lecce
2008,Chievo Verona (16.),,2,5,4,2,5,6,8,3,35,Chievo Verona
2008,Robur Siena (14.),,5,5,4,1,3,5,9,1,33,Robur Siena
2008,Urbs Reggina 1914 (19.),,2,5,8,0,7,4,3,1,30,Urbs Reggina
2009,Inter Milan (1.),,13,9,16,2,11,13,8,3,75,Inter Milan
2009,AS Roma (2.),,10,12,10,2,9,12,10,3,68,AS Roma
2009,AC Milan (3.),,9,12,10,0,7,9,7,6,60,AC Milan
2009,US Palermo (5.),,5,7,11,1,11,11,10,3,59,US Palermo
2009,Genoa CFC (9.),,6,7,13,1,10,14,5,1,57,Genoa CFC
2009,Cagliari Calcio (14.),,8,8,8,1,9,7,12,3,56,Cagliari Calcio
2009,Juventus FC (7.),,10,9,8,0,8,10,7,3,55,Juventus FC
2009,Udinese Calcio (15.),,6,13,8,3,3,9,10,2,54,Udinese Calcio
2009,SSC Napoli (6.),,6,4,6,2,8,9,11,4,50,SSC Napoli
2009,UC Sampdoria (4.),,7,10,9,1,8,5,8,1,49,UC Sampdoria
2009,FC Bari 1908 (10.),,12,5,5,0,6,11,9,1,49,FC Bari
2009,ACF Fiorentina (11.),,9,6,4,0,4,12,11,2,48,ACF Fiorentina
2009,Parma Calcio 1913 (8.),,2,7,7,1,11,10,8,0,46,Parma Calcio
2009,Calcio Catania (13.),,11,3,9,0,5,5,10,1,44,Calcio Catania
2009,Bologna FC 1909 (17.),,9,9,8,0,7,3,3,3,42,Bologna FC
2009,Robur Siena (19.),,3,4,5,0,6,11,11,0,40,Robur Siena
2009,SS Lazio (12.),,8,5,10,0,5,6,4,1,39,SS Lazio
2009,Chievo Verona (16.),,6,6,5,0,4,8,8,0,37,Chievo Verona
