date,weekday,league,home_away,half,overtime
2016-05-14,周六021,德甲,霍芬海姆(+1)VS沙尔克04,1:2,1:4
2016-05-14,周六020,德甲,达姆施塔(+1)VS门兴,0:1,0:2
2016-05-14,周六019,德甲,美因茨(-1)VS柏林赫塔,0:0,0:0
2016-05-14,周六018,德甲,拜仁(-2)VS汉诺威96,2:0,3:1
2016-05-14,周六017,德甲,奥格斯堡(-1)VS汉堡,1:1,1:3
2016-05-14,周六016,德甲,多特蒙德(-1)VS科隆,1:2,2:2
2016-05-14,周六015,德甲,勒沃库森(-1)VS因戈施塔,2:1,3:2
2016-05-07,周六033,德甲,斯图加特(-1)VS美因茨,1:1,1:3
2016-05-07,周六032,德甲,柏林赫塔(-1)VS达姆施塔,1:1,1:2
2016-05-07,周六031,德甲,汉诺威96(+1)VS霍芬海姆,1:0,1:0
2016-05-07,周六030,德甲,汉堡(+1)VS沃夫斯堡,0:0,0:1
2016-05-07,周六029,德甲,沙尔克04(-1)VS奥格斯堡,0:0,1:1
2016-05-07,周六028,德甲,因戈施塔(+1)VS拜仁,1:2,1:2
2016-05-07,周六027,德甲,法兰克福(+1)VS多特蒙德,1:0,1:0
2016-05-07,周六026,德甲,门兴(-1)VS勒沃库森,1:1,2:1
2016-05-07,周六025,德甲,科隆(+1)VS不来梅,0:0,0:0
2016-05-03,周一015,德甲,不来梅(-1)VS斯图加特,3:1,6:2
2016-05-01,周六057,德甲,勒沃库森(-1)VS柏林赫塔,2:1,2:1
2016-04-30,周六020,德甲,霍芬海姆(-1)VS因戈施塔,1:1,2:1
2016-04-30,周六019,德甲,达姆施塔(-1)VS法兰克福,1:0,1:2
2016-04-30,周六018,德甲,汉诺威96(+1)VS沙尔克04,1:2,1:3
2016-04-30,周六017,德甲,美因茨(-1)VS汉堡,0:0,0:0
2016-04-30,周六016,德甲,拜仁(-1)VS门兴,1:0,1:1
2016-04-30,周六015,德甲,多特蒙德(-1)VS沃夫斯堡,2:0,5:1
2016-04-30,周五040,德甲,奥格斯堡(-1)VS科隆,0:0,0:0
2016-04-24,周日046,德甲,法兰克福(+1)VS美因茨,1:1,2:1
2016-04-24,周日031,德甲,门兴(-1)VS霍芬海姆,2:0,3:1
2016-04-24,周六062,德甲,沙尔克04(+1)VS勒沃库森,2:0,2:3
2016-04-23,周六024,德甲,沃夫斯堡(-1)VS奥格斯堡,0:1,0:2
2016-04-23,周六023,德甲,斯图加特(+1)VS多特蒙德,0:2,0:3
2016-04-23,周六022,德甲,柏林赫塔(+1)VS拜仁,0:0,0:2
2016-04-23,周六021,德甲,因戈施塔(-1)VS汉诺威96,2:0,2:2
2016-04-23,周六020,德甲,科隆(-1)VS达姆施塔,2:1,4:1
