date,weekday,league,home_away,half,overtime
2016-10-23,周六086,意甲,AC米兰(+1)VS尤文图斯,0:0,1:0
2016-10-23,周六065,意甲,桑普(+1)VS热那亚,1:1,2:1
2016-10-18,周一007,意甲,巴勒莫(+1)VS都灵,1:3,1:4
2016-10-17,周日063,意甲,切沃(+1)VSAC米兰,0:1,1:3
2016-10-16,周日034,意甲,萨索洛(-1)VS克罗托内,0:1,2:1
2016-10-16,周日033,意甲,拉齐奥(-1)VS博洛尼亚,0:1,1:1
2016-10-16,周日032,意甲,国际米兰(-1)VS卡利亚里,0:0,1:2
2016-10-16,周日031,意甲,热那亚(-1)VS恩波利,0:0,0:0
2016-10-16,周日019,意甲,佛罗伦萨(-1)VS亚特兰大,0:0,0:0
2016-10-16,周六076,意甲,尤文图斯(-1)VS乌迪内斯,1:1,2:1
2016-10-16,周六056,意甲,佩斯卡拉(-1)VS桑普,1:1,1:1
2016-10-15,周六012,意甲,那不勒斯(-1)VS罗马,0:1,1:3
2016-10-03,周日069,意甲,罗马(-1)VS国际米兰,1:0,2:1
2016-10-03,周日052,意甲,都灵(-1)VS佛罗伦萨,1:0,2:1
2016-10-03,周日051,意甲,AC米兰(-1)VS萨索洛,1:1,4:3
2016-10-02,周日032,意甲,桑普(-1)VS巴勒莫,0:0,1:1
2016-10-02,周日031,意甲,卡利亚里(-1)VS克罗托内,1:0,2:1
2016-10-02,周日030,意甲,博洛尼亚(-1)VS热那亚,0:0,0:1
2016-10-02,周日029,意甲,亚特兰大(+1)VS那不勒斯,1:0,1:0
2016-10-02,周日019,意甲,恩波利(+1)VS尤文图斯,0:0,0:3
2016-10-02,周六087,意甲,乌迪内斯(+1)VS拉齐奥,0:1,0:3
2016-10-02,周六065,意甲,佩斯卡拉(+1)VS切沃,0:0,0:2
2016-09-27,周一017,意甲,卡利亚里(-1)VS桑普,1:0,2:1
2016-09-27,周一004,意甲,克罗托内(+1)VS亚特兰大,0:3,1:3
2016-09-26,周日067,意甲,佛罗伦萨(-1)VSAC米兰,0:0,0:0
2016-09-25,周日037,意甲,萨索洛(-1)VS乌迪内斯,1:0,1:0
2016-09-25,周日036,意甲,拉齐奥(-1)VS恩波利,1:0,2:0
2016-09-25,周日035,意甲,国际米兰(-1)VS博洛尼亚,1:1,1:1
2016-09-25,周日034,意甲,热那亚(-1)VS佩斯卡拉,0:0,1:1
2016-09-25,周日024,意甲,都灵(+1)VS罗马,1:0,3:1
2016-09-25,周六075,意甲,那不勒斯(-1)VS切沃,2:0,2:0
2016-09-25,周六053,意甲,巴勒莫(+1)VS尤文图斯,0:0,0:1
2016-09-22,周三060,意甲,乌迪内斯(+1)VS佛罗伦萨,2:1,2:2
2016-09-22,周三059,意甲,佩斯卡拉(+1)VS都灵,0:0,0:0
2016-09-22,周三058,意甲,尤文图斯(-2)VS卡利亚里,3:0,4:0
2016-09-22,周三057,意甲,热那亚(+1)VS那不勒斯,0:0,0:0
2016-09-22,周三056,意甲,恩波利(+1)VS国际米兰,0:2,0:2
2016-09-22,周三055,意甲,亚特兰大(-1)VS巴勒莫,0:0,0:1
2016-09-22,周三054,意甲,罗马(-2)VS克罗托内,2:0,4:0
2016-09-22,周三053,意甲,切沃(-1)VS萨索洛,2:1,2:1
2016-09-22,周三019,意甲,博洛尼亚(-1)VS桑普,1:0,2:0
2016-09-21,周二025,意甲,AC米兰(-1)VS拉齐奥,1:0,2:0
2016-09-19,周日062,意甲,佛罗伦萨(+1)VS罗马,0:0,1:0
2016-09-19,周日049,意甲,国际米兰(+1)VS尤文图斯,0:0,2:1
2016-09-18,周日029,意甲,萨索洛(-1)VS热那亚,0:0,2:0
2016-09-18,周日028,意甲,都灵(-1)VS恩波利,0:0,0:0
2016-09-18,周日027,意甲,克罗托内(+1)VS巴勒莫,1:0,1:1
2016-09-18,周日026,意甲,卡利亚里(-1)VS亚特兰大,1:0,3:0
2016-09-18,周日016,意甲,乌迪内斯(-1)VS切沃,1:0,1:2
