date	weekday	league	home_away	half	overtime	goals
2016/10/30	周日022	德乙	卡斯鲁厄(+1)VS斯图加特	0:1	1:3	4
2016/10/30	周日021	德乙	汉诺威96(-1)VS维尔茨堡	0:1	3:1	4
2016/10/29	周六017	德乙	菲尔特(-1)VS凯泽	0:0	0:1	1
2016/10/29	周六016	德乙	柏林联合(-1)VS杜塞多夫	0:0	0:1	1
2016/10/29	周五004	德乙	慕1860(-1)VS奥厄	3:1	6:2	8
2016/10/29	周五003	德乙	德累斯顿(+1)VS不伦瑞克	0:1	3:2	5
2016/10/29	周五002	德乙	比勒费(-1)VS桑德豪森	0:0	1:0	1
2016/10/25	周一004	德乙	凯泽(-1)VS波鸿	1:0	3:0	3
2016/10/23	周日021	德乙	奥厄(+1)VS柏林联合	1:1	1:3	4
2016/10/23	周日020	德乙	不伦瑞克(-1)VS菲尔特	0:0	1:0	1
2016/10/23	周日019	德乙	纽伦堡(-1)VS汉诺威96	2:0	2:0	2
2016/10/22	周六019	德乙	桑德豪森(-1)VS圣保利	2:0	3:0	3
2016/10/22	周六018	德乙	海登海姆(-1)VS德累斯顿	0:0	0:0	0
2016/10/22	周五005	德乙	斯图加特(-1)VS慕1860	2:1	2:1	3
2016/10/22	周五004	德乙	杜塞多夫(-1)VS比勒费	2:0	4:0	4
2016/10/22	周五003	德乙	维尔茨堡(-1)VS卡斯鲁厄	0:1	0:2	2
2016/10/18	周一005	德乙	不伦瑞克(-1)VS凯泽	1:0	1:0	1
2016/10/16	周日025	德乙	慕1860(-1)VS杜塞多夫	0:3	1:3	4
2016/10/16	周日024	德乙	卡斯鲁厄(-1)VS纽伦堡	0:0	0:3	3
2016/10/16	周日023	德乙	柏林联合(-1)VS汉诺威96	0:0	2:1	3
2016/10/15	周六008	德乙	菲尔特(-1)VS海登海姆	0:2	0:2	2
2016/10/15	周六007	德乙	德累斯顿(+1)VS斯图加特	3:0	5:0	5
2016/10/15	周五005	德乙	波鸿(-1)VS桑德豪森	0:1	2:2	4
2016/10/15	周五004	德乙	圣保利(-1)VS奥厄	1:1	1:2	3
2016/10/15	周五003	德乙	比勒费(-1)VS维尔茨堡	0:0	0:1	1
2016/10/4	周一001	德乙	斯图加特(-1)VS菲尔特	3:0	4:0	4
2016/10/2	周日025	德乙	维尔茨堡(-1)VS慕1860	1:0	2:0	2
2016/10/2	周日024	德乙	凯泽(-1)VS比勒费	0:0	0:0	0
2016/10/2	周日023	德乙	海登海姆(+1)VS不伦瑞克	1:0	1:1	2
2016/10/1	周六013	德乙	汉诺威96(-1)VS圣保利	0:0	2:0	2
2016/10/1	周六012	德乙	杜塞多夫(-1)VS卡斯鲁厄	1:0	1:1	2
2016/10/1	周五003	德乙	桑德豪森(-1)VS德累斯顿	2:0	2:0	2
2016/10/1	周五002	德乙	奥厄(-1)VS波鸿	2:2	2:4	6
2016/10/1	周五001	德乙	纽伦堡(-1)VS柏林联合	1:0	2:0	2
2016/9/27	周一013	德乙	柏林联合(-1)VS圣保利	2:0	2:0	2
2016/9/25	周日028	德乙	慕1860(+1)VS汉诺威96	0:0	0:2	2
2016/9/25	周日027	德乙	德累斯顿(-1)VS维尔茨堡	1:0	2:2	4
2016/9/25	周日026	德乙	比勒费(-1)VS纽伦堡	1:0	1:3	4
2016/9/24	周六005	德乙	卡斯鲁厄(-1)VS奥厄	0:0	2:0	2
2016/9/24	周六004	德乙	海登海姆(-1)VS凯泽	2:0	3:0	3
2016/9/24	周五003	德乙	波鸿(+1)VS斯图加特	0:0	1:1	2
2016/9/24	周五002	德乙	菲尔特(-1)VS桑德豪森	0:0	1:1	2
2016/9/24	周五001	德乙	不伦瑞克(-1)VS杜塞多夫	2:0	2:1	3
